ID	allele_type
MTBC_848	core
MTBC_849	accessory
MTBC_850	core
MTBC_851	core
MTBC_852	core
MTBC_853	accessory
MTBC_854	core
MTBC_855	core
MTBC_856	core
MTBC_857	accessory
MTBC_858	accessory
MTBC_859	core
MTBC_860	accessory
MTBC_861	core
MTBC_862	core
MTBC_863	core
MTBC_864	core
MTBC_865	core
MTBC_866	core
MTBC_867	core
MTBC_868	core
MTBC_869	core
MTBC_870	core
MTBC_871	core
MTBC_872	core
MTBC_873	core
MTBC_874	core
MTBC_875	core
MTBC_876	core
MTBC_877	core
MTBC_878	core
MTBC_879	core
MTBC_880	core
MTBC_881	core
MTBC_882	core
MTBC_883	core
MTBC_884	accessory
MTBC_885	core
MTBC_886	core
MTBC_887	core
MTBC_888	core
MTBC_889	accessory
MTBC_890	accessory
MTBC_891	core
MTBC_892	accessory
MTBC_893	core
MTBC_894	core
MTBC_895	core
MTBC_896	core
MTBC_897	core
MTBC_898	accessory
MTBC_899	core
MTBC_900	core
MTBC_901	core
MTBC_902	core
MTBC_903	core
MTBC_904	core
MTBC_905	core
MTBC_906	core
MTBC_907	core
MTBC_908	core
MTBC_909	core
MTBC_910	core
MTBC_911	core
MTBC_912	core
MTBC_913	core
MTBC_914	core
MTBC_915	core
MTBC_916	accessory
MTBC_917	core
MTBC_918	core
MTBC_919	core
MTBC_920	accessory
MTBC_921	core
MTBC_922	core
MTBC_923	core
MTBC_924	core
MTBC_925	core
MTBC_926	core
MTBC_927	core
MTBC_928	core
MTBC_929	accessory
MTBC_930	core
MTBC_931	core
MTBC_932	core
MTBC_933	accessory
MTBC_934	core
MTBC_935	core
MTBC_936	core
MTBC_937	core
MTBC_938	core
MTBC_939	accessory
MTBC_940	core
MTBC_941	core
MTBC_942	core
MTBC_943	core
MTBC_944	accessory
MTBC_945	core
MTBC_946	accessory
MTBC_947	core
MTBC_948	core
MTBC_949	core
MTBC_950	core
MTBC_951	accessory
MTBC_952	core
MTBC_953	core
MTBC_954	core
MTBC_955	core
MTBC_956	core
MTBC_957	core
